"","GSM416567","GSM416568","GSM416569","GSM416570","GSM416571","GSM416572","GSM416573","GSM416574","GSM416575","GSM416576","GSM416577","GSM416578","GSM416579","GSM416580","GSM416581","GSM416582","GSM416583","GSM416584","GSM416585","GSM416586","GSM416587","GSM416588","GSM416589","GSM416590","GSM416528","GSM416529","GSM416530","GSM416531","GSM416532","GSM416533","GSM416534","GSM416535","GSM416536","GSM416537","GSM416538","GSM416539","GSM416540","GSM416541","GSM416542","GSM416543","GSM416544","GSM416545","GSM416546","GSM416547","GSM416548","GSM416549","GSM416550","GSM416551","GSM416552","GSM416553","GSM416554","GSM416555","GSM416556","GSM416557","GSM416558","GSM416559","GSM416560","GSM416561","GSM416562","GSM416563","GSM416564","GSM416565","GSM416566"
"RPS4Y1",4.455124,5.6615257,5.703475,4.8199205,5.466613,5.4814262,5.563039,5.4643545,5.327523,5.266011,-0.38581753,-0.14357376,-0.07606697,-0.43777084,-0.21071959,-0.40024042,-0.48336124,0.041908264,0.15232706,-0.55633926,-0.58599377,-0.28778648,-0.36592388,-0.540174,-0.17553568,4.8947563,4.393903,0.04789734,4.7282,5.2604017,5.4543858,4.565934,-0.30582952,5.4234953,4.360632,4.9402046,4.7264385,5.116637,5.4902773,4.900817,5.2565536,-0.27522612,-0.32023573,-0.34543133,-0.22892857,-1.040163,-0.331190957111111,-0.19769669,-0.9648495,-0.02508974,-0.03887558,0.066185474,-0.1480937,5.566187,0.019081116,-0.5805073,-0.2585721,-0.047977448,-0.644907,-0.12429619,4.601288,-0.49089336,-0.33894444
"HLA-DRB5",0.27773714,-0.17742682,-0.4906416,0.14893913,4.9656734,4.0179777,4.138772,0.07362366,0.26919556,0.14515018,-0.64270115,-0.23409319,-0.238315894666667,-0.48484612,-0.037311077,-0.38356733,-0.54632854,4.033518,4.091139,-0.8916702,-0.6010666,3.7641172,-0.27759314,-0.49326324,-0.39967155,0.22679901,4.692957,0.08367634,-0.17830753,-0.18673992,5.700242,3.8482304,4.536604,0.3372574,4.822979,-0.24312687,4.8906345,0.58951473,3.6660862,0.029690742,-0.3218155,-0.2565837,-0.20953465,-0.16564465,-0.40268993,6.0515604,-0.18587303,-0.40580034,6.100933,5.355281,-0.2944069,0.03515196,-0.29399395,-0.44307804,-0.0530591,4.346346,-0.31579828,5.7483435,-0.6717901,0.08357763,3.2095242,-0.37024975,-0.48841286
"RPS4Y2",0.9632921,1.5672865,1.9190779,1.3821087,3.9636478,3.7964258,4.0424175,3.8301706,3.4169579,4.2074795,-0.3477869,-0.24119854,-0.1471219,-0.16368961,-0.1648469,-0.14813423,-0.49123287,-0.31732225,0.013708591,-0.45729828,-0.5917139,-0.44309902,-0.13893127,-0.20986748,-0.24519014,1.1940727,1.168788,0.03541851,3.209485,3.5286713,3.5183554,3.1995869,-0.17102051,3.530983,2.4705591,3.256528,3.6391296,3.548851,4.4991083,3.3892794,3.8598928,-0.3350563,-0.29507637,-0.2348094,-0.21383,-0.6486168,0.08186817,-0.18021393,-0.81059647,-0.2053752,-0.763425497,-0.0780735,-0.32548714,2.2685223,0.11696625,-0.62829876,-0.124007225,-0.025723457,-0.30615234,0.03204918,1.6368132,-0.22092628,-0.38698387
"LOC402057",0.020858288,0.072029114,-0.36651707,-0.16011143,3.3856401,2.547183,3.461873,2.7079058,3.57907,4.085929,-0.3801365,-0.3992195,-0.4341793,-0.41156864,-0.21810627,-0.29078913,-0.7524195,-0.54048634,-0.14456415,-0.7170658,-0.28916836,-0.15417862,-0.18421459,0.020900726,-0.5582447,-0.017358303,-0.19254589,0.032864094,1.9057446,2.5121946,2.2575102,2.981226,2.72305,2.8974714,1.1257915,2.0887756,3.4241028,4.1527777,4.6604204,4.476741,4.3306007,0.10410881,0.032323837,-0.46100712,-0.19698572,-1.004879,-0.3201003,-0.52296114,-0.54752636,-0.3524146,-0.66123724,0.22050953,0.48834896,0.36432838,-0.29266644,-0.13750172,-0.001404762,-0.027831078,0.28815937,0.22831535,0.291668986,0.1800785,-0.034362793
"RPL23AP13",0.13827753,0.09152508,-0.036789894,0.20259285,3.2776833,2.8206348,3.5101767,2.3495636,2.610755,3.5620499,-0.32492828,-0.1435585,-0.17415428,-0.087418556,-0.2867055,-0.31048155,-0.74302197,-0.39368725,-0.16839886,-0.7146511,0.24906158,0.13084221,0.5142002,0.5408592,-0.21189022,-0.019671917,-0.053613663,-0.068786144,2.3466759,2.496787,2.4414215,2.2162075,2.0115595,2.3327332,1.5049934,1.3909149,3.7458763,3.6866446,3.6983643,3.907158,3.321374,-0.2706623,-0.27718782,-0.44511127,-0.057966232,-1.1496038,-0.24157667,-0.6950512,-0.67339325,-0.5143676,-0.7596626,0.11935711,-0.11097908,0.081934609,-0.20998478,0.043302536,-0.080174446,-0.08949375,-0.1696806,0.29249382,-0.16769218,0.07868576,0.14920712
"AMY1A",-0.6930771,-0.1723814,0.15414524,-0.12684727,3.117527,3.1216574,2.989502,1.3316269,2.5607738,2.9268026,-0.4115429,-0.5197315,-0.22955513,-0.19825554,-0.62073326,-0.8073139,-0.34232426,-0.9517946,-1.1606884,-0.42925453,-0.14454937,0.1311531,-0.13292503,0.8136692,0.5048084,-0.6214094,-0.32200813,-0.19305801,3.1032162,3.0714788,2.7102861,2.7996988,1.6013393,1.8975983,2.4805822,2.6631594,3.747548,3.331089,3.632142,2.6908884,3.7563658,-0.8577585,-0.8794136,-0.9718466,-0.97707844,-0.764205,-0.8743124,-0.86488724,-0.72220516,-1.0295172,-0.76109314,-0.091091156,-0.56033707,-0.12980366,0.098609924,0.6442175,0.3726902,0.42459106,0.5554886,0.3397846201,0.13582325,0.71619606,0.38503838
"FTHL2",-0.07387924,-0.3153553,-0.4634199,-0.009609222,2.2571993,2.4197025,2.6859617,1.0071821,1.4058657,3.1552591,-0.9832783,-0.24993038,-0.22806454,-0.57317734,-0.4694748,-0.40818596,-1.0392513,-0.8835969,-0.5364728,-1.3729477,-0.543355,-0.15447521,-0.048318863,-0.07791042,-0.27883244,0.06101799,0.050614357,-0.15706825,2.7197962,2.461896,2.4239454,3.27069,1.1337595,2.05233,1.9393215,2.3837957,3.6109314,3.820837,3.0543356,3.346425,3.2749786,-0.35614872,-0.33332348,-0.41346455,-0.056378365,-1.476821,-0.025434494,-0.7478142,-1.4754763,-0.47581577,-0.41363811,0.13303757,-0.0657561296,0.17364025,0.2950487,-0.066423416,0.5452452,0.27311707,0.29097462,0.62247276,0.77317905,0.168334,0.6300335
"TMSB4X",0.057289124,-0.24073648,-0.47840786,0.012321472,2.821885,2.7215414,3.2618093,1.3461075,1.5277338,3.262432,-0.38135242,-0.2846775,-0.024094582,-0.045074463,-0.21245527,-0.49700928,-0.55514336,-0.3632555,-0.5270276,-1.0312595,-0.35682392,-0.08099651,-0.093894005,-0.24308205,-0.27188778,0.06675482,0.08884716,-0.1058712,2.1328554,2.64507,1.9310331,2.1891823,0.5893898,1.4432411,1.2301922,1.4176674,3.4971495,3.880124,3.5775642,3.4062862,4.1205034,0.02995491,0.099458694,-0.09808159,0.06798744,-1.057929,-0.4108758,-0.70575,-0.9988222,-0.57372856,-0.65223217,-0.027228355,-0.36241817,-0.014432907,0.2570858,-0.17887878,-0.06797886,0.065644264,-0.0299856662,0.32874966,0.3248768,-0.15919018,0.24571514
"EVI2B",-0.25728416,-0.6790199,-0.6916051,0.012469292,2.3827047,2.4478588,2.7101707,1.2263088,1.9354486,2.802288,-1.0231442,-0.40997934,-0.37094402,-0.551846,-0.6565299,-0.707366,-1.0438447,-0.52793646,-0.3600359,-1.0946255,-0.45363998,-0.20159149,-0.08662701,-0.1468668,-0.42301846,-0.018494606,0.18763971,0.08801174,2.7687473,2.8245344,2.3503332,3.5392227,1.3463821,1.8305149,1.7571411,2.5352879,3.179471,3.740182,3.6454325,2.8871984,4.1077213,-0.1876421,-0.38144588,-0.5492573,-0.5364008,-1.4087524,-0.47298765,-0.748178,-1.3992996,-0.5747657,-0.67702675,-0.071416855,0.024819374,0.049196243,-0.006165505,0.37134647,0.37341118,0.1564995768,0.07838726,0.5479164,0.8872318,0.033286095,0.13819408
"RAP1B",-0.020398617,-0.33225727,-0.30410957,0.0292691236,2.5561314,2.7267427,2.7137222,2.1180334,2.1217737,2.823494,-0.7246976,-0.3156886,-0.35888243,-0.48207235,-0.31654978,-0.5474453,-0.95811796,-0.6261463,-0.23330069,-1.0015273,0.0516119,-0.09896088,0.01753807,-0.0527153,-0.34534073,-0.05925703,0.048046112,-0.13660526,2.0022964,2.716958,2.5944128,2.98942,1.5916128,1.5821905,1.1807318,2.2032967,2.9442348,2.8871584,3.3653364,2.767006,3.6419783,-0.3727455,-0.4164486,-0.6007638,-0.17697525,-1.2209616,-0.34345627,-0.67446184,-1.3094754,-0.38324928,-0.88840246,0.23264694,0.13466549,0.07865906,-0.2376914,-0.14748001,0.34044838,0.056617737,0.038067818,0.24574852,0.39787865,-0.04507351,0.3851595
"FCGR3A",-0.6284609,-0.71172714,-0.86295986,-0.37831974,2.7894182,2.9344997,2.411954,1.8551188,1.9510145,3.0752602,-1.2687902,-1.2279844,-1.3854971,-1.0261202,-1.4883342,-1.3657808,-1.8632231,-0.5492878,-1.1642256,-1.8705559,-0.6106529,0.28103065,-0.03657055,-0.28302288,-0.22760773,-0.50626373,-0.0947876,0.17497063,3.5365849,3.6642656,2.6351995,3.861024,1.5553036,2.473052,2.305562,3.1021233,3.6326103,4.1693487,3.6382074,3.346838,4.163975,-0.7924242,-0.7501097,-1.064559,-1.2455759,-2.393918,-1.077652,-1.1575184,-1.8299627,-1.0437641,-1.0197582,0.017965317,0.041343093,0.029542923,0.345541,0.9948158,0.3881464,0.64704037,0.6637516,1.0329647,0.460824,0.34026527,-0.27293396
"GIMAP7",-0.21176529,-0.2366864678,-0.10020447,-0.025522232,2.9348974,2.8939438,3.0134096,2.4131832,2.2043877,2.8476944,-0.59412384,-0.6946497,-0.4155178,-0.4549904,-0.82157993,-0.8446903,-1.2989087,-0.63530254,-0.8173537,-0.71594334,0.32946682,0.46355343,0.8357315,0.6208515,-0.26398754,-0.43020153,-0.26373005,-0.17829037,1.7077656,2.952837,2.6278477,2.0978556,1.8543987,2.0611305,1.1115828,1.6761189,3.3696594,2.6293774,3.3137894,2.9299784,3.0671654,-0.57654953,-0.60237503,-1.1769052,-0.61914444,-1.7041006,-0.9055605,-1.0831947,-1.1608353,-0.8818073,-1.3523889,0.033379555,-0.1836319,0.1692295,-0.24214935,0.8546419,0.10361099,-0.069726944,0.23362255,0.016223907,-0.04462719,0.3335905,0.042042732
"C6orf62",0.24850273,-0.16170883,-0.4462886,0.07892561,2.1670446,1.9792852,2.6081533,1.6095581,1.3728857,2.6926346,-0.77735376,-0.24505043,-0.06278372,-0.40958643,-0.27800608,-0.4708438,-0.77120876,-0.30684853,-0.032794952,-0.9099574,-0.31236076,-0.058772087,-0.05841732,0.014487267,-0.12879705,0.25239515,0.30205822,-0.006963253,2.1678047,2.1918392,1.936944,2.866971,1.2726154,1.1601181,1.018055,1.733141,2.8184013,2.5859509,3.0624447,2.5913506,2.790431,-0.19621038,-0.30627632,-0.2560506,-0.2920494,-1.2673092,-0.19700623,-0.5032506,-1.110724,-0.3169198,-0.5662203,0.30149555,0.04271698,-0.0331302645,-0.20659399,-0.08883953,0.041736603,0.07496643,-0.3326521,0.30257893,0.28856468,-0.27694798,0.077750206
"MYOM2",3.503872,-0.8241062,-0.8559141,-0.58349943,0.61886406,0.010015488,-0.408782,1.2230196,0.9703407,-0.9174423,0.7130022,2.3726358,1.6639462,-0.48157597,-0.15735435,-0.5106611,2.5644054,3.9206982,-0.32497406,-0.7454901,-0.7429371,3.2138739,-0.25388622,0.68944645,-0.8152561,0.68801594,-0.31992865,-0.1792221568,-0.9050789,2.1004848,-0.9488096,-1.4529967,2.6170998,-0.5315914,-0.5622139,1.1597862,1.1635771,-0.22689152,0.9328041,2.5497704,2.2194338,0.5965252,-0.0240345,2.9366293,-0.7231159,1.9710121,0.39877224,0.077775955,-0.49108696,-0.86353874,2.794341,0.8912506,0.3221836,-0.74514866,-0.81400776,-0.58356094,-0.073991776,1.5163412,1.5199566,1.6822958,-0.8306055,-0.7835388,-0.9385948
"ITM2B",0.17910004,-0.3439331,-0.61668396,0.17791986,1.4601164,1.8735275,1.6439228,0.8909006,1.3114567,2.1289053,-0.44592094,-0.02178049,-0.014314175,-0.097280025,-0.1837338441,-0.30205393,-0.46163893,-0.14428091,0.09684563,-0.76840496,-0.3651018,-0.16174984,-0.12777376,-0.35273886,0.04073572,0.351223,0.45137405,-0.050151825,1.7271605,1.9583054,1.8932638,2.4855776,0.78595066,1.0169125,0.7496767,1.6591463,2.8074932,2.9554787,2.8556566,2.6269913,3.4493427,0.20118713,-0.2383647,-0.259727,-0.17676067,-0.8522663,-0.029708862,-0.35902643,-1.072948,-0.2369194,-0.32983112,0.31311512,0.06251907,-0.25148487,-0.10019112,-0.29447937,-0.034373283,0.12310505,-0.30543613,0.20193481,0.38448048,-0.20279121,-0.041927338
"CHURC1",-0.9821081,-0.35786915,1.5964136,-1.0276394,0.078915596,1.4412947,1.7523813,0.10521221,-0.19264984,1.4852848,-0.18547821,-0.40448093,-0.8906708,-0.18003082,0.93310356,2.2358809,-0.17140293,-0.011699677,-0.28648376,1.4750118,1.2811861,-0.047768593,-0.565155,-0.40484047,-0.8017216,-0.80367565,0.7643862,-0.2759285,-0.34356022,2.0297403,1.4510431,0.6498318,-0.1556015,1.3759012,0.6828995,-0.14474201,-0.07102966,0.019321442,0.593282603,0.34163952,1.5628195,1.8524542,2.1226816,-0.4507017,0.8966913,1.9066916,-0.25753212,-0.34689522,-0.16015434,-0.0707531,-0.09717846,-0.21912575,1.7998228,1.7055426,-0.74101925,2.34064,1.237793,0.91762733,0.028393745,-0.1869688,-0.059901237,1.3321533,1.4681673
"LOC441743",-0.2258339,0.039107323,-0.2781391,0.19949722,2.1893072,1.7287312,1.9588118,1.9217024,2.6369572,2.263358,-0.4399395,-0.31289196,-0.2337509607,-0.11934757,-0.19270992,-0.3332138,-0.6462145,-0.26339626,-0.45960712,-0.1174593,-0.095225334,0.4139099,0.19394398,0.16466045,-0.12866974,0.14927101,-0.012199402,-0.052330017,1.6982307,1.5396757,1.9525127,1.1308174,1.2757864,1.5917482,0.597497,1.1419373,2.7547321,1.7869759,2.484558,2.0857668,2.13342,-0.07946873,-0.2863598,-0.42420578,-0.36932182,-0.8063278,-0.57223177,-0.5107813,-0.16776085,-0.69802856,-0.7641983,0.33984566,0.16174793,0.034500122,-0.003506661,-0.013534546,0.019337654,-0.18912125,-0.07073784,0.09357071,-0.11672497,0.67319393,-0.04000473
"EIF1AY",1.4381938,1.2556806,1.2495475,1.2230134,1.2569709,1.6764579,1.0224118,1.1516099,1.5929646,1.3628068,-0.6781697,-0.15432167,-0.036589622,-0.3426895,-0.044252396,-0.50134754,-0.49249506,-0.117405415,0.24511766,-0.7434497,-0.67848444,-0.38245678,-0.22250748,-0.48506021,-0.23306799,2.0519042,1.5995221,0.21209145,1.1478095,1.6293111,1.8599887,1.964643,-0.4584446,1.5462155,1.5860066,1.8700919,0.94417334,1.531816,1.439919,1.6659522,1.6166043,-0.16764832,-0.20862532,-0.28787804,-0.088274,-1.2934318,-0.1692063816,-0.21177626,-0.8525715,-0.16119051,-0.6183734,0.107340336,-0.03958845,1.3710246,0.01582098,-0.500494,-0.24518156,-0.031439304,-0.6950817,0.04594612,2.5366683,-0.50781155,-0.5596347
"PPIB",-0.21299744,-0.32260418,-0.13382053,-0.030979156,2.6873045,2.4907494,2.6837502,1.8810396,1.4246044,2.523426,-0.9459324,-0.5690794,-0.5329304,-0.5577936,-0.56655264,-0.59277534,-1.0722046,-0.5613041,-0.53338957,-1.3832808,-0.08185291,0.18738079,0.29821587,0.16170216,-0.14329529,-0.011918545,-0.0543952,-0.17096424,2.199561,2.5806456,2.0756388,2.2104673,1.3101406,1.7973595,1.5401936,2.1361456,3.10421,2.5483818,3.3708725,2.2002563,2.806754,-0.7906318,-0.6110697,-0.80876875,-0.6563139,-1.435689,-0.688282,-0.89670897,-1.4468312,-0.7243662,-0.9023533,-0.17659378,-0.10257244,0.14302444,0.13141823,0.30839252,0.001667976,0.005066872,0.20132065,0.10365963,0.17445469,0.31628895,0.0480541243
"MRP63",-0.38601875,-0.214581823,0.2519331,-0.22262096,1.8647099,1.664751,2.4320698,1.6118145,1.7658567,3.2099028,-0.36864376,-0.28929138,-0.6021795,-0.35270786,-0.3656683,-0.39861393,-0.61764526,-0.4708948,-0.58988094,-0.30182743,-0.01134491,0.6412449,0.15522861,0.46849728,0.04780674,-0.3883896,-0.23378277,0.33753014,1.2372456,1.5383606,1.1490555,2.6843061,1.4228334,1.0301237,0.81319904,0.38067532,2.5251713,2.6301718,2.3206606,2.2655478,1.8961086,-0.20417881,-0.032512665,-0.75520706,-0.14607048,-0.3180771,-0.47968292,-0.47824574,-0.16709232,-0.57334423,-0.74692535,-0.34010315,0.16182423,0.2959652,-0.37074375,0.6241741,-0.006635666,-0.30409527,0.16732216,0.06732941,-0.0309515,0.42247105,-0.13922119
"ZADH1",-1.2058153,-0.46545792,-0.17575264,-0.36504745,2.3855515,2.3409414,3.0758505,1.8200474,1.9415464,3.9684944,-0.8818331,-0.55216885,-0.9988203,-0.8483114,-1.2102823,-0.7909422,-1.2546511,-0.668869,-1.4399505,-0.9676342,-0.12916374,0.7945833,0.167386160444444,0.59942245,-0.3379612,-0.6544819,-0.66251755,0.22201538,1.2458191,1.69627,1.3075581,3.7160254,1.567874,1.4851408,0.91383076,0.7979021,2.9284039,3.2456436,2.876441,2.984437,2.991146,0.022180557,0.005952835,-1.3212633,-0.17835331,-0.88319016,-0.655735,-0.5840244,-0.97141075,-0.9876623,-0.87615204,-0.28154087,0.53706837,0.49848366,-0.1389637,0.8862505,0.081017494,-0.3796482,0.30739212,-0.07064819,0.14700031,0.25194073,-0.09492016
"SMCY",1.3370857,1.4709358,1.6711035,1.4168377,2.0732212,1.9289789,2.2549372,2.1794338,1.9256382,2.020522,-0.7016282,-0.22705221,0.017670631,-0.28163576,0.010564327,-0.4306407,-0.535285,-0.39309168,0.104733849,-0.91055536,-0.5958295,-0.4094081,-0.18505621,-0.56336737,-0.23750257,1.2218981,0.9785533,0.037184715,1.5680742,1.5130272,1.4947863,1.0753851,-0.43002033,1.3356714,1.280344,0.9570408,1.5342093,0.8808241,1.5471706,1.2154484,1.814681,-0.30378962,-0.35943747,-0.2552185,-0.2540331,-1.2390409,-0.15513992,-0.23957682,-0.97543955,-0.17025852,-0.5730839,0.107131004,-0.18797064,1.3359823,-0.039239883,-0.57058,-0.2549262,-0.046833992,-0.95691776,0.06522846,1.1518326,-0.6257057,-0.40517235
"ARG1",-0.28347015,-0.59783745,-0.6292372,-0.7840786,-1.0732069,-1.1542406,-1.2573833,-1.3327851,-1.0560322,0.14454842,-0.9040079,-0.6564388,-0.26430798,-0.37963104,-0.78727007,-0.35458946,-0.6422615,-0.859622,-0.18895721,-0.23885536,-0.21568108,-0.34764385,-0.51791,-0.70643044,-0.19930744,1.0803461,0.522318504,0.8098297,1.0121479,-0.023406029,-0.5290327,3.679305,-0.6045437,0.5099592,-0.13564873,2.730651,0.9678135,1.4915895,0.950799,-0.007757187,1.5738478,0.84788036,0.16541862,0.035416603,1.6705809,-0.7173557,2.301962,0.721817,-1.5107765,1.1558237,4.3050175,1.5459833,0.8303232,0.82966137,2.9935522,0.9616747,2.4523125,0.6836624,1.337017,0.7722559,2.5208492,1.3430662,1.9320755
"C1D",0.25580835,-0.18145943,-0.48367834,0.20015478,1.3034811,1.6269817,1.6114407,1.1718092,1.6237621,1.744565,-0.58646107,-0.1474514,-0.08700609,-0.34837103,-0.01470232,-0.28177643,-0.5264039,-0.12446308,0.068543434,-0.72748613,-0.36588717,-0.052923203,-0.008832932,-0.27640152,-0.15620089,0.36510086,0.42388058,0.187078,1.1483917,1.6167536,1.7169571,2.3552313,1.1847801,1.3336477,0.7043743,1.4071913,1.917491,2.2104673,2.4471884,2.0600748,2.8167038,-0.3142171,-0.17733002,-0.1653471,-0.2289691,-1.0377989,-0.010614395,-0.27302122,-0.95177984,-0.22932339,-0.29508066,0.010124207,0.08382702,-0.17807674,-0.046245575,-0.41185188,0.325387,0.10666704,-0.11065292,0.26146746,0.45711613,-0.09819698,-0.0327811713
"C11orf63",-0.84578323,-0.30039692,-0.18188477,-0.39900875,1.9488516,2.0713663,3.0838356,1.5899315,1.7891636,3.6316156,-0.47093487,-0.3927889,-0.6580372,-0.6959038,-1.0788937,-0.9100599,-1.281313,-0.59545517,-1.1872644,-1.2428598,-0.13085938,0.59543896,-0.1671524,0.47116947,-0.24648571,-0.5318203,-0.6015949,0.29980373,1.2305555,1.3409872,1.4716015,3.4675617,1.640358,1.1928186,1.234683,0.5128374,2.7943935,2.7556229,2.6303654,2.9020033,2.822939,0.001451492,-0.007867813,-0.95681286,-0.33621693,-0.83298874,-0.5586624,-0.5749788,-0.69922066,-0.96723366,-0.7371416,-0.44121838,0.4222927,0.25064945,-0.028627396,0.7190628,-0.064891815,-0.236422645,0.19827366,0.005124092,0.19987297,0.29999447,0.0597744
"NME2",0.3315053,-0.19231129,-0.49069118,0.27961445,2.1380582,1.8966689,2.4716868,1.1759286,1.4451194,2.5528665,-0.5626168,-0.14573288,0.056900978,-0.27803135,0.061739445,-0.3546033,-0.49850655,-0.15543175,0.2243371,-0.8049264,-0.41114998,-0.26761866,-0.062960625,-0.28716612,-0.11555529,0.43286276,0.38417673,0.028286934,1.0824876,1.6908584,1.3005795,1.1724029,0.87066317,1.2073216,0.70033884,1.1186948,3.038383,2.105393,2.701532,2.0097404,1.9169564,-0.16679335,-0.22023392,-0.20283127,0.06008768,-1.195519,-0.214043827222222,-0.2673092,-1.1276078,-0.21199656,-0.43172312,-0.09302473,-0.14549494,-0.14218521,0.036605835,-0.21300459,-0.06655836,-0.11851883,-0.33733988,0.21649218,0.2712984,-0.25607252,-0.16574192
"CLEC12A",-0.20117092,1.1937256,2.014862,0.5580101,-0.09268665,-0.27891064,-0.5497999,0.82893085,0.81417465,2.2793226,-0.28407478,0.63255787,-0.6295643,-0.30532646,-0.70553017,-0.26434612,0.80809593,0.92992306,-0.6585188,-0.8733902,-0.24733353,1.2298326,-0.5024805,-0.7947855,-0.49931812,-0.38709927,-0.38967705,-0.63389397,-0.89742756,1.2908201,0.24433327,2.604082,1.2746954,-0.18916798,-0.25359344,-0.118463516,0.07252979,-0.037830353,-0.22952652,1.31143,2.1317844,-0.393651,-0.22403622,1.0195017,1.7931538,0.69316006,0.087646484,-0.6387167,0.26805305,1.9021034,0.521249397,-0.09375954,0.12657547,1.5522747,1.5425262,0.4782114,1.6196795,-0.23274612,0.96905994,-0.15431309,-0.44958305,1.1492796,2.2282448
"BMP8B",-0.25963974,-0.22404242,-0.24738264,-0.1837942128,2.25281,2.0117383,2.566749,1.4274278,1.5290017,3.2937007,-0.63838625,-0.37490273,-0.1963973,-0.3793645,-0.59387875,-0.68506,-0.9149051,-0.4760909,-0.36325645,-1.1420894,-0.16851377,0.34356928,0.11690569,0.39897203,-0.2795577,-0.16231728,0.010692596,0.14974165,1.7342868,1.9928946,1.1945081,2.8947291,0.8098626,1.1007428,1.0014424,1.02702,3.141335,2.1111445,2.6600852,1.6993375,2.018395,-0.12649107,-0.29399252,-0.8164191,-0.51504135,-1.3515944,-0.4550829,-0.6096177,-1.2111278,-0.68215275,-0.6544032,0.06607294,-0.001329899,0.2329936,0.16228437,0.21809626,-0.06565142,-0.12462568,-0.10889387,0.12824774,0.039202213,0.041811466,-0.24267149
"LOC440926",-1.387866,-0.9091568,-0.4140873,-0.33921528,3.076315,3.4150076,3.092369,2.2397394,2.7086868,3.2708454,-1.2128382,-1.6567192,-1.3653584,-0.7982025,-2.0087013,-1.8281527,-2.80371,-2.090929,-2.4108744,-1.8990269,-0.38699722,0.22043896,0.006335259,-0.19874668,-0.1698103,-0.54657364,-0.8665371,-0.46814823,3.2920074,3.2159443,3.3709726,3.6681757,2.2250729,3.012807,2.7277966,2.9327183,3.4884548,3.77674,3.3934736,3.4953394,3.0713167,-1.3691235,-1.5271406,-1.7323065,-1.4917135,-2.0434513,-1.9130507,-2.1311264,-2.4580927,-1.7765083,-1.135562,0.4086132,0.093892626,-0.22367573,0.23566055,0.05573082,1.0854101,0.31454468,0.45908165,0.63932514,1.0306416,0.9960451,0.35747433
"KCTD12",0.17064667,-0.2973051,-0.6961713,0.051062107,1.120945,0.93758965,0.750721,0.691996285,0.5376377,1.4074621,-0.54083586,-0.24052238,-0.19056034,0.26348305,-0.31941652,0.45501995,-0.72327805,-0.57498646,-0.06642485,-0.99029875,-0.6651969,-0.4700327,-0.15877056,-0.6345196,-0.3836422,0.30043507,0.09796333,-0.14362717,0.89336777,1.6677179,1.3021297,1.9999275,0.8781872,0.7019272,0.23683882,0.92696667,2.2025137,3.488288,3.178502,1.7812786,2.7376947,-0.23018646,0.70299435,-0.5766239,0.93686104,-0.46423054,-0.050182343,-0.49512196,-1.1608915,-0.45954847,0.44655132,-0.14035368,-0.22362804,-0.574018,-0.22851992,-0.64667845,-0.126966,1.0326748,2.2791271,0.04615879,-0.12074375,-0.5030031,2.6630983
"OLFM4",-0.2725544,0.82637215,-1.0238099,-0.4033723,0.40102482,-0.022397041,-1.2799978,-0.7770891,-0.4861784,1.6243181,-0.5131941,-0.7565336,1.0581264,-0.7378683,-0.34845734,-0.7737193,-0.31301594,-0.19018173,-0.6523423,-1.5777869,1.3435831,-1.0719495,-0.54978924,0.45249557,0.03075409,1.8905964,-0.23478317,2.0513268,1.3128147,0.046743393,1.0199947,1.1798887,0.32736492,-0.3797083,-0.36349392,1.1018124,1.8771334,-0.21583557,1.7691011,-0.59678507,-1.1680384,-1.091979,-0.38647366,0.08726311,3.2065392,-0.9993696,-0.3610239,1.7454615,0.14017105,0.61327934,1.2410402,2.327795,-0.9007149,1.584405,3.4502792,-1.0876465,1.2815523,-0.47772932,2.73625,0.8587637,-0.11442757,2.2037487,3.993703
"HMG1L1",-0.68303394,-0.059688568,-0.07431793,-0.13790989,2.3789082,2.404296,2.501505,1.8659267,1.3796196,1.9733496,-0.42357922,-0.5382023,-0.7963133,-0.17659473,-0.8285799,-0.83266735,-0.8825903,-0.7342901,-0.7673693,-0.8107891,0.10176563,0.32593822,0.06629944,0.45840263,-0.28420448,-0.61783123,-0.18036461,-0.08061218,1.9379416,2.3376083,1.890667,1.7419434,1.3054571,1.5086889,1.139904,1.7967815,2.5703936,2.6077929,2.898941,1.9540987,2.4644957,-0.6120148,-0.45581245,-1.2012367,-0.8388071,-1.2497311,-0.8945999,-0.87948036,-1.0582743,-1.041522,-0.99971867,0.1696434,-0.27754498,0.28467178,-0.17498016,0.68912506,0.071528435,-0.0859494198888889,0.4470501,0.084708214,0.48563576,0.5203037,-0.052369118
"HNRPH1",-0.006271839,-0.43338633,0.16151428,0.14479876,1.8032436,2.4211073,2.3914385,1.7946081,1.2024984,2.4994593,-0.80238056,-0.53679514,-0.108511925,-0.59427404,-0.41481066,-0.6936531,-0.97988653,-0.5587096,-0.44806623,-1.0945749,-0.04911995,0.11876202,0.32498837,0.37574768,-0.055610657,0.024205685,0.0706172,-0.1117177,1.9241915,2.1239767,2.0351315,1.8974714,1.2460794,1.7313595,1.2245283,1.1931448,2.4786882,2.1034708,2.2791643,1.9642382,2.4448013,-0.36157608,-0.5054712,-0.66953945,-0.6722579,-1.6957579,-0.37864304,-0.56078863,-1.3753424,-0.48176146,-0.9405432,-0.006484032,-0.14064407,-0.096429825,-0.19118404,0.011052132,0.33781242,-0.06658887725,-0.30321693,0.30883312,0.28818893,0.09252453,-0.1964426
